L1,L2
Jagan was released on bail from the Chanchalguda jail in September 2013 after being in prison for 15 months following his arrest in May 2012 in related cases.,जगन मोहन रेड्डी को सितम्बर 2013 में चंचल गुडा जेल से रिहा किया गया था।
"The CBI has filed 11 chargesheets, besides supplementary chargesheet in the cases.",केन्द्रीय अन्वेषण ब्यूरो ने कई मामलों में 11 अभियोग पत्र दायर किये थे।
"Defence Minister Rajnath Singh has said that the Defence Expo 2020 will be held for the first time in Lucknow from February 5 to  9. He said it will be the biggest ever defence exhibition in the country in terms of participation of exhibitors, the area of the exhibition and the revenue to be earned.","उन्होंने कहा कि प्रदर्शनी में अपना सामान प्रदर्शित करने वालों की संख्या, प्रदर्शनी के क्षेत्र और इससे प्राप्त होने वाले राजस्व की दृष्टि से यह देश में अब तक आयोजित सबसे बड़ी प्रदर्शनी होगी।"
"In an effort to engage common people directly on their demands and aspirations from upcoming Union Budget, Prime Minister Narendra Modi has invited ideas and suggestions from them.",प्रधानमंत्री नरेन्द्र मोदी ने अगले वित्त वर्ष के केन्द्रीय बजट के लिये लोगों से विचार और सुझाव आमंत्रित किये हैं।
US President Donald Trump says he will sign the first phase of a trade deal with China at the White House on 15th of this month.,ट्रंप ने फ्लोरिडा में अपने घर से किए गए ट्वीट में कहा कि वे चीन के साथ व्यापक और विशाल व्यापारिक समझौते के पहले चरण के दस्तावेज पर हस्ताक्षर करेंगे।
The opening ceremony of the event will be held tomorrow evening at Sarusajai stadium in Guwahati.,ये मैच गुवाहाटी के बरसापाड़ा स्टेडियम में खेला जाएगा।
"He said that PFI was actively involved in violence, that is why police have arrested 25 of their members.",उन्होंने कहा कि पीएफआई हिंसा में सक्रिय रूप से शामिल था।
"He said that PFI was actively involved in violence, that is why police have arrested 25 of their members.",इसलिए पुलिस ने उनके 25 सदस्यों को गिरफ्तार किया।
Shimla police has issued an advisory to the public to remain cautious while driving and even moving on foot as roads might be slippery even after clearing of snow.,सड़कों पर फिसलन के कारण शिमला पुलिस ने लोगों के लिए परामर्श जारी किया है।
The Supreme Court today rejected the Centre's plea challenging Telecom Disputes Settlement and Appellate Tribunal (TDSAT) Order directing refund of around 104 crore rupees to Reliance Communication.,दूरसंचार विवाद निपटान और अपीली अधिकरण ने केंद्र को यह आदेश दिया था।
"Heavy snowfall is likely to occur at few places with height 2,500 metres and above.",मौसम विभाग का अनुमान है कि उत्तराखण्ड के ढाई हजार मीटर और उससे ऊपर के पहाड़ी इलाकों में कुछ जगहों पर भारी हिमपात हो सकता है।
The event was organized in association with the Confederation of Indian Industry (CII) in Mumbai.,इस सम्मेलन का आयोजन अखिल भारतीय व्यापारी संघ ने किया है।
